"id","question_id","locale","text"
"29b16144-fc85-4280-a04a-2d131cb67b9b","e868306c-5f13-48e8-9774-7aa0f6fdd695","tr","Immutable nesne ne demektir?"
"cc2c541c-b924-4170-b11e-1e5cc1ee3b18","a58b32c4-2f2f-48f4-8e96-621e80103c0d","tr","Java'da immutable bir sınıf oluşturmak için hangi adımlar gereklidir?"
"f7130938-90d0-4876-af6a-5e2c0a4f2fb4","e2491000-6781-48fd-be4d-e6653c5f4aac","tr","Immutable nesnelerin thread-safety açısından avantajı nedir?"
"36df0cd4-b6a7-4c08-811b-d3c16be51f2f","87cb324b-ae54-4d4a-8b9e-52ef152635fd","tr","Defensive copy (savunma kopyası) ne için kullanılır?"
"0a616288-3d74-429c-8701-c4063a4ff240","73205ab3-97ad-43e5-92e5-8310444a6d4f","tr","Java'da hangi sınıf immutable'ın klasik bir örneğidir?"
"f21cfc8e-0b3d-494a-af52-94240c17faf3","c055b263-4167-4dcf-91d6-3cf486e92ea6","tr","Immutable nesnelerin dezavantajı ne olabilir?"
"fa5158f5-6d41-43ad-8182-d5c0c0e825a1","518e948e-3b94-4326-874f-e2df8db6c017","tr","Java 16+ Record'lar immutability için neden elverişlidir?"
"b87540be-3df9-4255-a05f-6f14a79507f1","2800254b-7f20-463f-b59a-ff616504eb9e","tr","Immutable bir sınıfta final anahtar kelimesinin rolü nedir?"
"ebcbf0d5-b166-4716-8f6f-af3f0740442c","e6d08311-3ce8-420e-9861-6080f0a1fc87","tr","Builder pattern, immutable nesnelerin oluşturulmasına nasıl yardımcı olur?"
"4c5ec7c6-282d-4030-b885-6cf5d0a87cea","5cf3cb13-cadf-4451-9e63-f044ca3a6efd","tr","Immutable koleksiyon oluşturmak için Java'da hangi metot kullanılır (Java 9+)?"
"df92f398-7d16-4050-9bf0-83b106e35dd5","4ca61b1e-561b-45fd-8246-a5efd1ea0312","tr","Immutable nesneler neden HashMap anahtarı olarak ideal sayılır?"
"193c2f37-f9cd-4976-8218-b43aafaeb574","d7a28111-5251-40cb-84d8-ad8cd29e17da","tr","'with' metotları (örn. withName()) immutable tasarımda ne için kullanılır?"
"8bb9e0b5-10b1-4423-aec9-47dffed3ac95","5c293a6e-24bc-4b3b-be94-41ac789396cf","tr","Immutability, fonksiyonel programlama ile nasıl ilişkilidir?"
"2f1d2c6a-1637-4522-8075-1e99f12a1f15","b7b38c82-a849-4fc4-8505-0ba21aa0503d","tr","Enum'lar neden doğal olarak immutable'dır?"
"040f2397-35db-4be3-978b-574a8efac1d1","61c65aeb-df74-40c5-8c33-a71dad152f31","tr","Immutable bir sınıfta array alanı olduğunda hangi risk vardır?"
