"id","option_id","locale","text"
"0df016cd-87af-47fd-9d08-636bb11af87d","3ab49c3a-75e1-4317-a3c7-bf06bb7ef70a","tr","Bir sınıftan yalnızca bir nesne oluşturulmasını"
"8473a2af-ea0d-4319-931d-eeac7e502bcf","c44fc3bd-88d3-4b34-8806-70cf23d8b6a3","tr","Birden fazla nesne oluşturulmasını"
"e1e4c6b4-8b69-452e-9468-cfb0836d671e","17edfa5b-ac98-4598-9169-dcc684d7b2fc","tr","Sınıfın final olmasını"
"fae57376-2331-469a-a4d7-b463069ffa91","2da20b19-6628-43c1-8f24-92b9fc432c61","tr","Interface oluşturulmasını"
"850a15c8-9565-4899-87e3-0ef385b8b474","83efc518-070b-4e29-8825-1255f0096d5f","tr","Nesne oluşturma mantığını alt sınıflara devretmek"
"27fb473d-535e-471d-8366-1d89a63bd4fc","2c444f40-39dc-4840-bf3d-daea02aa8b25","tr","Nesneleri silmek"
"7a486d13-e647-45d5-a870-5394456b6823","0cd1861a-9dcc-4423-b977-0ebd16945018","tr","Thread oluşturmak"
"04fe24bc-da53-4691-a536-a95829755c7f","ab7d3aff-1a9f-4f37-975d-e81c63ee742d","tr","Exception yönetmek"
"daf6a9e4-ec34-4ed6-97e9-4cd903216eba","4c169070-bd24-4919-abb8-14b6f6b1037f","tr","Bir nesnenin durumu değiştiğinde bağımlı nesneleri bilgilendirmek için"
"333d2805-c27a-4fae-bbbc-bec25a060a28","ea345f7f-afd4-47ac-8c2e-5ef30ea394ce","tr","Nesneleri kopyalamak için"
"94d730f2-2c74-441a-b284-ce6a368e4490","e75312dd-6257-4983-a5ae-78ee35a5135b","tr","Belleği yönetmek için"
"5b5483c7-799d-4a56-8b70-c03d3ac27be0","80495829-1d30-4fa5-92bf-651d156b9798","tr","Thread senkronizasyonu için"
"25679085-d6e2-4877-bc3f-65689fbabe09","9f3c8323-26b6-4af2-a659-c390bdf6b885","tr","Çok parametreli karmaşık nesnelerin adım adım oluşturulması"
"a0245b2d-6a9d-4f6b-9a76-07aa023390ef","9b12c907-8e7e-4f93-b102-7ae09089e7a5","tr","Nesnelerin silinmesi"
"28943023-ece5-4105-a674-7305d0f8280b","86637aa0-bc51-4427-a0a9-0809f1ed0171","tr","Interface'lerin birleştirilmesi"
"5b38598b-cca0-48de-b41f-0162ba3a8581","0ee1e3a4-2091-4b33-b23e-6305cb49e5b7","tr","Thread'lerin yönetimi"
"a0eda229-95a4-44a0-b86f-475afe0342a0","0efb4030-19cc-444c-b515-8770b2641b5b","tr","Algoritmaları runtime'da değiştirme imkânı"
"e9284c4d-11e6-49dc-a0f5-770f2f1cdd42","21cce39c-c98d-4cec-a5a7-6686bcb3438f","tr","Sınıfın tek bir örneği olmasını"
"e73a7326-9dac-4647-a5a9-b368a58a9956","12f71ba6-307a-4358-bba3-cd69a50e186f","tr","Nesnelerin klonlanmasını"
"d9d4991d-c094-4a29-ae6b-27eeb61b27ca","cb14be59-bf30-4608-8bc1-0bb6b43e7cb4","tr","Belleğin azaltılmasını"
