"id","question_id","locale","text"
"8dbd4753-f16b-49ed-9d4f-37969b410c52","43e1ab9e-acf2-433d-b475-877b5b4085f1","tr","Bubble Sort'un ortalama durum zaman karmaşıklığı nedir?"
"53bc1018-3097-471f-914a-f651adee7886","11b09971-a0d6-40da-9f11-ef36882abc83","tr","Quick Sort'un temel çalışma prensibi nedir?"
"5e31e12b-e6a6-4449-abce-8c8bc021ea64","e3c7d87d-b2dc-42ed-90c9-b1e08ac65c9b","tr","Merge Sort'un zaman karmaşıklığı (tüm durumlarda) nedir?"
"5b90f236-10f4-44f6-8671-5473e5c30d08","d859c949-82e8-483f-94a9-2635de2e4a3e","tr","Hangi sıralama algoritması 'stable' (kararlı) sayılır, yani eşit elemanların göreceli sırasını korur?"
"151d1aab-5dd6-4c24-841a-62ac3421c7db","1c1042d5-936c-40ab-94b5-b998d896e671","tr","Insertion Sort en çok ne zaman etkilidir?"
"3f6dfeb9-646c-4f1b-8b27-c8042f863618","1a640320-edba-424c-aad5-29b3800b40f3","tr","Quick Sort'un en kötü durum zaman karmaşıklığı ne zaman oluşur?"
"82b21057-ee21-47dd-aeb4-7282782185a8","afcffbfc-89ad-422c-b6a3-06f3c7c0c2c8","tr","Heap Sort'un zaman karmaşıklığı nedir?"
"42c8b40f-6d07-4d9f-be8e-32ffb5e9c020","97c5a9a8-6a74-4076-9182-f1a0437264ae","tr","Counting Sort hangi koşullarda etkilidir?"
"da1fa439-1246-4648-af56-7cd6c4fa4dcd","782a7cf5-6388-433a-8bfb-95357270b3bb","tr","In-place sıralama algoritması ne demektir?"
"f21a6787-8015-440a-adfe-ebfae95c212e","1d09d4b3-4cc3-4df5-978d-3c0a43dc4fb1","tr","Java'nın Arrays.sort() metodu primitif diziler için hangi algoritmayı kullanır?"
"2bdbb7c7-b843-479f-ac46-edf565c92871","7c2528bc-aa1b-4840-b8da-f5223fd204d3","tr","Selection Sort'un çalışma prensibi nedir?"
"a8cc80ea-4eeb-4497-95ea-6bf70bc75ef7","166d251a-e8e1-4065-999c-2759ea0876fa","tr","Sıralama algoritmalarının alt sınırı (comparison-based) nedir?"
"6039466c-e180-4cf4-83e0-eae346df8657","b42298b5-26e2-4842-bb56-754b7642750e","tr","Radix Sort nasıl çalışır?"
"273184e6-f73a-4ea2-81e5-e6e775a3c1b5","f4835781-ad0a-4fd7-9ca1-694d02b109cd","tr","Hangi sıralama algoritması divide-and-conquer (böl ve fethet) stratejisine dayanır?"
"99c4574c-8d48-4149-9cc8-ce5e3396075a","bf9e5348-0ba9-4704-9e26-67958a111695","tr","Bucket Sort'un temel fikri nedir?"
"c975190e-5c8e-4d0c-98f6-14f189a966b8","a0c199a2-0c89-4811-86c2-c2f2a5db03c2","tr","Java'nın Collections.sort() ve Arrays.sort() (nesneler için) hangi algoritmayı kullanır?"
"42c22511-6681-4f19-9843-b180435c006c","039c6dcf-044f-4a6e-8653-51e0b936c130","tr","En kötü durumda O(n²) karmaşıklığına sahip olmayan algoritma hangisidir?"
"b0f7c793-69b1-41b6-8571-a4f85217895a","666ae1d2-d654-4f8a-ac8f-4266fdfc42e5","tr","Sıralama algoritması seçerken nelere dikkat edilmelidir?"
"add81d5c-0d60-4cc6-8f07-b1c4ad9c5194","f80f23b9-97ac-448b-896f-14f3b07d85b6","tr","Shell Sort neyin geliştirilmiş versiyonudur?"
"033406f1-a265-422f-9f3f-a6b31bbb54c0","e9116bfa-88f5-4fa0-b0d2-4a2625aa8cbc","tr","Comparator kullanarak Java'da bir koleksiyon azalan sırada nasıl sıralanır?"
"223c721b-623e-432f-a609-d5bf04ca7a0d","c5add546-eb25-4090-a8eb-a74adaa5bd97","tr","JUnit'te @Test anotasyonu ne için kullanılır?"
"ee43db5c-4634-4296-bf00-94d94c50794b","2fbdda95-f5c3-4361-9be6-1ab61e3dee20","tr","@BeforeEach anotasyonu ne zaman çalıştırılır?"
"10e4b114-a559-4d9a-88d8-896406606cc7","2a6482a3-9ecc-4ca0-8495-010626832894","tr","Mock nesne ne için kullanılır?"
"e45c9deb-91b4-4eae-be60-c6beacd3a08e","fd4495a6-9bd4-4f1e-8cdf-cbabb1ac40d6","tr","assertEquals() metodu ne yapar?"
"1e6b3f2b-b825-449d-84f5-26b1af64f963","debeef79-4084-4d43-9fae-aeebbfaad58a","tr","Unit test ve Integration test arasındaki fark nedir?"
"678118af-34d5-4223-8de7-624ef84b4d1c","123ee049-6557-4632-8c7d-f25c430408d3","tr","assertThrows() ne için kullanılır?"
"0c072443-c617-4d13-a845-43c92d313cd8","5314df98-3ae3-448b-ad56-1ba2c23be3e2","tr","Test coverage (kod kapsamı) neyi gösterir?"
"caf07c7d-e659-488b-b634-c461896efff2","e5a9650e-32fa-4ebb-bde5-3373cdcda60b","tr","TDD (Test-Driven Development) yaklaşımının temel prensibi nedir?"
"e0baa9f9-c2c8-4666-bba9-0916e2bc5c42","3d8cebe3-1b36-4312-8ba4-0db5e20fcdd0","tr","@Mock ve @InjectMocks anotasyonları (Mockito) ne için kullanılır?"
"4b076d0f-481b-4001-8a25-989fd855bb55","d1373055-8e27-4b01-b856-efe468c12de2","tr","Parametrized test ne için kullanılır?"
"d386fd68-4d8d-4680-802a-6d2b35828712","3a1dcba3-eb08-4171-b009-f9c030c829cf","tr","@AfterEach anotasyonu ne zaman çalıştırılır?"
"1bc325e3-7ce4-4f34-ab50-c02cbc1f7a4e","7d603703-5309-409e-a434-d296c7d8d0e3","tr","@BeforeAll ve @AfterAll anotasyonları (JUnit 5) ne zaman ve hangi şartla çalıştırılır?"
"a4b0ee60-37e8-4f51-9add-872ebc8927e0","b3009d10-cd6d-49bb-b047-579db83b6adf","tr","Test Pyramid kavramı neyi önerir?"
"6a41860a-33e6-4bb2-b0ef-b029208d1aa6","b745ec8f-5e6d-4560-b02a-e75eaaa3bcb3","tr","Stub ve Mock arasındaki fark nedir?"
"17fcff58-aaee-4662-9774-3869bb501c01","4a7235c3-4c34-4d47-a99e-d8bcb0da74b0","tr","@Disabled (JUnit 5) anotasyonu ne yapar?"
"e2b65835-c31b-4acf-888b-cea2e0504d0e","eba76572-834f-4c0c-97c2-c9fc199ea7ba","tr","Code coverage'ın %100 olması neyi garanti etmez?"
"11adbc71-4d54-4519-bfbb-a5cb1b0af340","2a4ec934-f2c1-47e3-bbe6-28dca89d046a","tr","Test Doubles kategorisine hangisi dahildir?"
"a561b4ac-5f09-4106-988a-286d0cf4dee4","9ac1b43d-bba4-4f6c-9dda-9b26c8b0c06d","tr","Integration test ne zaman yazılmalıdır?"
"2171524b-8c10-4536-a953-23b35fa132fe","4514a160-a3d2-4eb4-96fa-d27ada7c84ce","tr","assertAll() metodu (JUnit 5) ne için kullanılır?"
"bff82c6a-8ec1-4cfe-87f3-1f01cb47ed28","4dd295dd-d08d-41ae-98d6-740abdbf9feb","tr","Test Isolation (test izolasyonu) neden önemlidir?"
"16f9ffef-e652-4cce-8515-422d3a53cc12","174a28a0-5dd7-4c94-8657-9f26831b5a7a","tr","JSON formatının temel üstünlüğü nedir?"
"f1be4866-e312-4ec6-82fd-8393500d9d8a","07932bae-107b-4527-ac96-6318ff219ffa","tr","XML ve JSON arasındaki temel fark nedir?"
"5ee40ac6-c61d-4f21-8196-5b3636deb440","1d8f0adf-f1b2-4e98-a853-888d050517b5","tr","Jackson kütüphanesi Java'da ne için kullanılır?"
"6a1bbc23-cbe5-41b6-ac89-6fbbfe364093","20caf884-75ee-472b-b4c2-bcb64dc1c3b0","tr","@JsonProperty anotasyonu (Jackson) ne için kullanılır?"
"4ed54252-68b6-46e0-b6d7-149449f807e0","927e0a0a-7d3e-4e0c-bdc3-7de6b03120fb","tr","Protobuf (Protocol Buffers) JSON'dan ne ile farklılaşır?"
"3edfc634-d23b-4944-9a5b-24f74c5f480b","9c97fe8e-609d-4685-9caa-08b41281eb55","tr","YAML formatı neden sık sık yapılandırma dosyalarında kullanılır?"
"afd003c5-0396-4eb0-9093-abd479bbfb69","3415a829-7b36-409b-a6d2-fb3832ea9e2c","tr","JSON'da dizi (array) hangi karakterlerle gösterilir?"
"365c15ce-b307-4175-b7bb-f52133a0b222","5fa5d376-81cf-4df8-8519-d802ca673c6a","tr","@JsonIgnore anotasyonu (Jackson) ne yapar?"
"b6a1ee2f-670f-431f-8aeb-b0db2bf742f0","f7a13d4d-8434-4fbd-b6d1-baf027aab649","tr","Serialization formatı seçerken hangi faktörler dikkate alınmalıdır?"
"13c15b02-a551-4177-974c-d6828125546d","72b6e3c9-ae7d-42bf-93bf-94353f0bc210","tr","Gson kütüphanesi nedir?"
"633e5593-f4e6-47b7-beee-62a10c956a55","14a65624-4497-490d-9799-5619e87fd3ac","tr","XML'in Schema (XSD) ile doğrulanması neye imkân verir?"
"4b94e177-2dcc-4080-baf4-9f3584b0aafc","b54c2022-fdde-4d7c-9584-5fba8c8ec8e9","tr","Avro serialization formatının temel özelliği nedir?"
"4ceec6bd-1da6-47da-b492-0f44bc4fe5d9","87490de0-0d9f-4ed6-967d-3de9cee72a50","tr","JSON'un null değeri nasıl gösterilir?"
"5d98fe64-5fb0-42b7-8bb8-9bbab7910711","081a934e-a05f-4d14-9175-49354cdc4b35","tr","İkili serialization formatlarının (Protobuf, Avro) metin tabanlı formatlara (JSON, XML) üstünlüğü nedir?"
"75bbd946-aa21-4b1d-b3bc-a76544cde6c8","de0ae39e-a72e-4c28-b015-94066e5347df","tr","@JsonCreator anotasyonu (Jackson) ne için kullanılır?"
"d11d7142-84ca-4a96-83ba-6f89b9555e9c","69ce8377-3f23-4f75-b1cb-8e577a459a61","tr","JSON Schema ne için kullanılır?"
"c0bc4cf9-a03e-4cb6-840d-f84d0632d2f3","98c8df15-d7f7-4e03-9243-4384c0afa075","tr","Serialization sırasında circular reference (döngüsel referans) sorunu nasıl çözülebilir?"
"73d3acff-db56-4891-a3fa-99510bbc557b","1c994705-cdfd-480f-838a-4a176e274278","tr","MessagePack nedir?"
"5c23ee9a-0db1-49ec-a978-85d056d61a20","46ff673d-984c-444e-b488-eb8c41a5954a","tr","API'lerde content negotiation sırasında Accept header'ı neyi bildirir?"
"63993606-3e40-4b70-966b-3750cbf4e5b7","edad8289-a528-4cd8-a625-91190b3d4489","tr","Serialization formatının versiyonlanması (schema evolution) neden önemlidir?"
"a98e98b3-a51e-40a9-825c-14cba300031c","dae14ff0-b5f9-4fc4-9346-f4d4bb330076","tr","Spring Framework'te IoC (Inversion of Control) neyi ifade eder?"
"e9d6d951-06ce-460a-871a-28c8732c5e93","a3bad069-704b-49a5-acb5-96e65df3db15","tr","@Autowired anotasyonu ne için kullanılır?"
"9cde3217-2cc1-4577-ad90-289df799a743","10bc21df-f78d-4a69-a8d4-fbbc037a57d1","tr","Spring'de Bean nedir?"
"cbde72d9-7896-47cf-85b7-4042b7b1a2d5","2ac0bdb7-6739-49ed-9aec-b36d2966cbee","tr","@Component, @Service ve @Repository anotasyonları arasındaki fark nedir?"
"26a5c2ab-a2b5-4452-a743-742af778afe3","e3a4770f-b534-43ff-b487-07b5cb660f3d","tr","Spring Boot'un temel üstünlüğü nedir?"
"8c83c9d9-ceea-48ad-9a14-43563c632696","51440ed8-aaa3-4418-8dbe-38a1e1db4fa2","tr","Dependency Injection'ın türleri nelerdir?"
"e0cc483e-3e4d-49d2-bd61-384c0889806c","4544ac9f-9679-43a0-8419-36d4e6cd73ac","tr","@RestController anotasyonu ne yapar?"
"dda61a8c-1aa7-4cce-8af1-23b7b2d6597c","682abf40-8aa3-493e-93c4-2e035ad8ff0b","tr","Spring'de Bean'in varsayılan scope'u nedir?"
"e6ca989e-5871-4ebf-a0aa-3d349aa8a465","ce46086a-132a-4717-b91d-e85d38bff840","tr","@Transactional anotasyonu neyi sağlar?"
"6378c153-b546-41ec-8437-6d04f88770d5","24f5fb59-5d30-42ed-a887-9de918dc4a5b","tr","Spring'de Application Context nedir?"
"d4821588-1652-44f6-8c3c-7a74d7500b4e","f8c943b5-a509-47e0-aaea-d569e4e79b7b","tr","Spring'de @Qualifier anotasyonu ne için kullanılır?"
"c5e91b14-71c2-4000-bd87-4cde2ee3546b","02d49166-6485-472f-8b51-d22aa13ba6da","tr","Spring'de @Configuration anotasyonu ne yapar?"
"c9bbf397-9639-439d-bb3b-88092ef40a1a","5122d7f2-2e5b-499f-a4d1-57bc86990a27","tr","Spring'de @Value anotasyonu ne için kullanılır?"
"8471e8a2-a00e-48ca-83a5-5f605ca193be","22947a01-c447-455a-9a78-6b39ff65ce02","tr","Spring Data JPA ne için kullanılır?"
"c61ca343-8f37-461e-8ef2-c2469771ad7e","0c1992a3-19de-46e6-9d65-2f6cff139f7d","tr","Spring'de @ExceptionHandler anotasyonu ne yapar?"
"c6693139-6890-48e7-91e8-ae1206b9bb46","0e084ee3-6ad2-4862-ac1b-aac6a51dda90","tr","Spring'de profile (@Profile) kavramı ne içindir?"
