"id","question_id","locale","text"
"cf2fbf93-8b3e-432e-828d-3edd1b1dafe3","f1cfebb6-7551-4108-a019-5573cd2693d6","tr","Big-O gösterimi neyi ifade eder?"
"99fbd65a-c625-44f1-8772-6a4f3d63164a","49293fa8-33b9-4e41-9d40-7128876850c1","tr","O(1) karmaşıklığı ne demektir?"
"ca16cdac-93bd-4f9c-a219-8b0348f4a360","520a7cac-a766-496e-bda5-e63c2c4bceeb","tr","O(n) karmaşıklığı neye karşılık gelir?"
"1fda9644-6cc6-4cf3-beb5-685f3e4fb9dd","b605fc8f-d794-4e25-b6de-8b58afaa06a1","tr","O(n²) karmaşıklığı en çok hangi senaryoda görülür?"
"09fde518-49be-45a5-bf54-b80d568e39bc","9ee5354a-d5c2-44fa-96e4-7e74a3c9a7fc","tr","Space complexity (yer karmaşıklığı) neyi ölçer?"
"bbd87133-3bdc-4631-8e9a-ee9f28d8a5a6","8ca31693-adbd-4532-a9e9-5c68e46e4f74","tr","Amortized analysis ne demektir?"
"1628334d-4008-409b-9ba6-a206718df4ab","31ad6cd1-f723-4525-9eed-475699f23f52","tr","Recursive bir algoritmanın zaman karmaşıklığını analiz etmek için hangi yöntem kullanılır?"
"8d7edc77-ba73-423a-a6ec-2c4aca6b16a0","b07d8003-36b1-4d8a-a9de-57820ff662fe","tr","Dynamic Programming (dinamik programlama) ne için kullanılır?"
"8d264936-7a2b-4556-9507-fff7d2edd350","43a3f9f7-73da-4ece-b67f-2d3929861197","tr","Greedy algoritma stratejisi neye dayanır?"
"036dfa24-33be-4dad-8c21-4dbf7cbc6027","ad7a51ff-a009-4dfa-add4-41971ae94311","tr","Best case, average case ve worst case karmaşıklığı neyi ifade eder?"
"baadcaee-945f-4ee0-9127-57c5be9fd417","a9eea59e-1759-4772-8b2e-9dcb0a8c6bab","tr","O(log n) karmaşıklığı tipik olarak hangi algoritmalarda görülür?"
"685ff3cd-924d-4905-be5c-c95d34674f33","f046d15b-838e-4d04-a449-dd6286772fa9","tr","NP-complete problem ne demektir?"
"8ee76523-f54a-402d-965c-78601895014f","a23ce248-6a6b-41d6-ac36-6e233acd38ee","tr","Memoization ne demektir?"
"5f2d2aa2-6f87-489f-aa0a-8d1d5e285985","da1502ad-fabf-4128-aa5b-f325f1fe0256","tr","O(n) ve O(n log n) karmaşıklığına sahip iki algoritmadan büyük n için hangisi daha hızlıdır?"
"6457b48a-efd0-46c3-897b-ba9fcfe2f57a","d0f934c6-a79e-4d22-bec1-1fb80a8b3026","tr","Divide and Conquer (böl ve yönet) stratejisinin üç temel adımı nelerdir?"
"89989892-1377-43c5-b610-5f932ddb8f54","5965252b-29b3-474e-9971-6644ae0dde84","tr","Backtracking algoritması ne zaman kullanılır?"
"85e37915-435a-4bb3-8bef-53f50d6b9daa","18411327-3e08-4dd4-8b64-c005e21ac7d4","tr","Two Pointer tekniği hangi problemlerde sıkça kullanılır?"
