"id","option_id","locale","text"
"8f82250c-36aa-4199-afc5-78c85cc0eff8","3815c6d8-871e-4f9e-b7e0-c9cce7c2d289","tr","Projenin build, bağımlılık yönetimi ve proje yapısını standartlaştırmak"
"adb1f426-13dc-4668-ac76-f165e7b6ad5d","775ddb2c-1c3f-4e1f-8d14-c3f96bb6840d","tr","Yalnızca kodu derlemek"
"4f6037d9-8f2f-4177-bf8e-cabe41ca2d19","a7daf66f-5197-462c-9c71-87a46c6f58a9","tr","Test yazmak"
"9eabd3ff-4faa-417f-bfc6-d264e3048d0d","69645bbf-f703-4186-ad3f-ad1c788f4c20","tr","UI oluşturmak"
"a9607a35-0794-4976-bb0b-a9779b228a00","8daa8227-785b-4f34-b321-0224100d05e6","tr","Maven projesinin yapılandırmasını ve bağımlılıklarını"
"46798613-505f-4df1-9377-f0e90a127deb","5fb561ea-e46c-4684-bf15-0f66003bc1a3","tr","Java kodunu"
"8316a1a8-0009-47e7-b810-048d0dd58bcb","ef24a90a-97d8-45a9-b52b-2d6e9210a8bc","tr","Test sonuçlarını"
"a37ce982-6266-473d-b1e9-6c3fd95eca80","f7094554-3707-44c8-a6cc-3c7dc69f317a","tr","Hiçbir şeyi"
"da6e28ab-08d0-4ead-98b9-7a410c7ad2ca","0410f306-d118-4440-b835-579b7b057510","tr","Projenin ihtiyaç duyduğu harici kütüphane"
"d2079120-ac4a-44d8-aae7-dca73aa7398f","06a0ff72-0986-42a5-9870-1af030b0a409","tr","Test sınıfı"
"5bc7d1b5-99a6-47b8-8a1f-e7a1d59c770c","fb9179b1-5c15-4cf8-a438-69c9587068b1","tr","Derleme hatası"
"2acc6e13-5a7f-40be-aaae-767d08b43fb3","28f93280-41c1-4121-b54c-520ff7d7ea7c","tr","Hiçbir anlamı yoktur"
"2de76464-d768-49d5-a2f5-6066dd80dbe9","03c74699-ec76-45a5-bac0-41404fe73812","tr","XML yerine Groovy/Kotlin DSL kullanır ve genellikle daha hızlıdır"
"6d25f3ed-bc6f-4413-9195-968706a12733","05c86f2e-2889-49c2-99bc-3edbe01541da","tr","Fark yoktur"
"87f4c848-d195-43e5-9b60-55708df36378","16c2aad0-2e2a-47cd-881a-a04958aee29b","tr","Gradle yalnızca Android içindir"
"da17602c-c068-4db9-a607-d03cb3941534","e25ef9ba-2149-4fe1-8e41-957ad651afb0","tr","Maven daha hızlıdır"
"ffb0cdac-a923-432f-ac74-4d668ba4a716","de9391f1-49fe-4ff7-9fab-df2526d6bf9b","tr","compile"
"4ecadd6f-e2dc-43dd-90e6-1e89e5dfcb20","66eaae41-c806-4665-b12d-8aad3d8fc6ca","tr","test"
"1e2c0206-6089-4a4b-87a6-03884e6dce25","b1ebf5f5-5608-4aa2-be9b-7630ceb94914","tr","package"
"d7eb9167-bac6-4c19-815d-c538e4ff7143","4078f82e-4c04-4d06-bb89-d7fbc84000dd","tr","refactor"
"f0a6b271-b085-4dfc-bf0a-a7dab3821bea","2bb8bdcc-cc35-4db1-b8a4-74a1bf1af75a","tr","Geriye uyumlu olmayan (breaking) değişiklikler"
"c560455a-c5a1-4031-ba36-0c3d51604f11","52e11a72-3fd1-4814-9a30-caba390174e3","tr","Küçük bug fix"
"8d73bb87-b957-45e7-8da0-8f533abd5bbc","d9474768-9b5a-4c5b-ba6d-8c21d421bf2a","tr","Dokümantasyon değişikliği"
"8e5f7ab2-ead9-4f96-b704-1c5a46da95b4","1b5cce73-130d-4519-8508-9e31ba97f84e","tr","Hiçbir şeyi"
"5547ef2f-c613-4c6d-8eee-e30e9ef07b35","7eb1f038-f0b3-4bb5-80ae-adbb7efa3988","tr","Bağımlılıkların saklandığı ve arandığı yer"
"24b42395-965b-418e-b051-750ea3576083","7031993c-44f6-41a3-a764-533854be840d","tr","Kodun versiyonlandığı yer"
"1911b8cf-fab1-4663-adeb-51a4c6c9462a","b52c57c4-91a0-4714-8405-57b8923a2c5b","tr","Test sonuçlarının saklandığı yer"
"bcfc83e7-da0d-4977-85f6-a0dbd7798685","2a23275a-b6a1-4bb0-bd8e-a5e132503c1c","tr","Hiçbir amacı yoktur"
"7ee574ce-66ba-494a-ac91-48b37c211eec","c312dc3f-4af0-4e07-8b41-75bcbfe24d96","tr","Önceki build sonuçlarını siler, yeniden derler/test eder ve artifact'ı yerel repository'ye kurar"
"b30b64d4-81d9-487e-9622-6b3c97087622","b90517e7-38e7-44f7-ac09-aa552877d04d","tr","Yalnızca kodu siler"
"a264ec0e-3af5-41b3-acd6-69bef9f17ce4","6501da44-aee3-4934-8e04-14087877d0b5","tr","Yalnızca test eder"
"bb41463f-1c69-44c5-add5-869c21ae2304","b30fcb91-6c17-42a7-932e-90c48bd411a7","tr","Hiçbir şey yapmaz"
"fa4b4615-fc2b-4db5-8b89-8e3a89eea16d","125c9067-6b80-4d94-823c-be473487a5be","tr","Projenin build yapılandırmasını tanımlamak (pom.xml'in Gradle karşılığı)"
"5df9d034-36c0-4629-b2fe-665b858c91ef","df1c111f-1993-4cbc-91a1-d140a12a62ae","tr","Test sonuçlarını saklamak"
"a85fbcf7-9c52-414f-ba6d-1a7d3a3c26a3","cade0879-a70d-488a-8ae8-8937c29b898f","tr","Kodu derlemek"
"d130d1de-d740-4d13-8213-0e5cb3a91942","c663d480-6728-482c-843d-6a92eacf5e6e","tr","Hiçbir rolü yoktur"
"b35840aa-ccab-40dc-a395-20d62e6eba0f","e181b5f7-f6b1-4a5c-9de5-6ad3916f6876","tr","Doğrudan eklediğiniz bağımlılığın kendi bağımlılıklarının da otomatik olarak dahil edilmesi"
"8d257d4a-3469-4317-8500-fcb19a3c1327","e19e0896-afd6-4ec6-9e67-3510ee161bf1","tr","Yalnızca doğrudan bağımlılıklar"
"6047d010-08be-440d-b26c-9b22a4502ecc","62b40dee-0722-4bb9-b119-9e25b2e61910","tr","Test bağımlılıkları"
"65297f7b-a852-43c2-9ec4-4b884408b85d","56d1697e-437f-4e24-920a-4fac64891975","tr","Hiçbir anlamı yoktur"
"bcd91f23-ff00-458f-bd30-256104ad94ff","4ac65b7e-cabb-40d1-bc26-d89dfd9f8091","tr","Bağımlılığın hangi build aşamalarında kullanılacağını"
"9384ba99-c7dd-43c7-b41f-d8c047c6b357","127bd866-fc88-4529-bd45-f5774fe9b164","tr","Bağımlılığın versiyonunu"
"cfa0576f-02e4-4bdf-88c3-43f5524d4549","b04d7d13-1a16-45ab-8246-34a7a9bcb93d","tr","Bağımlılığın adını"
"53822158-c6c1-43b8-bc02-1ef9e93f135e","4318be9e-acdd-4678-9b34-ab55da589024","tr","Hiçbir şeyi"
"0f61e928-0e90-4ba9-b047-75864a257de6","382018e8-fc0a-4b87-95d6-7f2e32ad89d5","tr","Build sürecine ek işlevsellik (örn. compile, test, package) ekleyen bileşen"
"ca0cb606-6bcc-480a-bd58-fdcbf533181d","868e0692-3df9-411e-8a37-660787e9b0ea","tr","Bağımlılık türü"
"947fde8b-1c59-493d-9853-b815306e9d1c","1255ff81-6172-454d-963f-1cea376c32ca","tr","Test sınıfı"
"1e59c9d3-8083-45c9-9d92-2f7eb070b71a","249a93a3-37c0-4946-abb6-52319ff48e79","tr","Hiçbir anlamı yoktur"
"5aee194a-61bf-4171-a051-a30cbec081d9","b079829d-b5ab-44ea-a31a-2d31e137b0cd","tr","Build sürecinin bir adımını temsil eden çalıştırma birimi"
"d8f6b4bb-0b41-4a99-acdb-69d896ff2f79","16cd6b3a-7b31-4d32-907c-64a03fc2a723","tr","Bağımlılık türü"
"002bdb64-2d98-4a74-85c6-f8134a015863","fd54c451-3855-4fbf-bdd1-8c2293ae08bb","tr","Test sınıfı"
"f5fda7ed-3100-4ef2-b41e-f9203438ac43","38018da2-c4c7-42f5-b2f9-a6623a0237c3","tr","Hiçbir anlamı yoktur"
"2dd0b6c7-6b03-4af4-9cd0-086b416da01f","b7ae3d4d-1c5d-4e63-8998-e131949dda95","tr","Birden fazla modül arasında ortak yapılandırmayı paylaşmak için"
"43e85b21-ac90-46f7-bcda-3e6b96917163","6ac41626-b56a-44a8-bb5d-7f3be3b2b06d","tr","Test yazmak için"
"07df768a-b7ea-4230-9258-0d8dc46df071","8e9f0980-1575-4d63-ac52-e93beadc835f","tr","Hiçbir amacı yoktur"
"2bd8c1b3-3f2a-4f50-9689-ad682130cda3","629e65b7-3756-4962-a5d1-df8c164ffcce","tr","Yalnızca küçük projeler içindir"
"5660f4df-b5af-4544-8d73-66ef3879915c","313c928b-fdf5-42cb-95c4-d9fa4aaf981b","tr","Yalnızca değişen kısımları yeniden derleyerek build süresini azaltır"
"f77211f6-72fa-4759-a78f-b81061a62e14","a135a2bc-a001-45b7-ab17-52e5651325f4","tr","Her seferinde her şeyi yeniden derler"
"a21e369a-c281-4876-9884-62faebfd2ab0","9067e348-39ed-45ad-8eba-756009998b85","tr","Hiçbir etkisi yoktur"
"dfc94f0a-a3c5-47ae-8f31-db3e11e052db","18d5e005-513e-47b2-813b-bb6c4c23e5bc","tr","Yalnızca test içindir"
"0c654c49-9c9e-40ad-8aa1-e9a096a3a8bf","44524afd-3428-4d68-bb61-c9c0ce91fc27","tr","Henüz geliştirme aşamasında olan, kararlı olmayan versiyon"
"9f95a1a2-4221-4ee8-abc9-c85c937fd13e","c23d5823-f739-4d42-9d41-1475b4dd7636","tr","Final sürüm"
"ec19f20e-fe1d-4353-b49b-a39629d6203f","47f8b29d-c8c1-45d6-869c-8a62f9e122d7","tr","Yalnızca test versiyonu"
"a3eb3d46-7ac1-4727-89cf-59b04b755e97","9ae0e2e7-affd-4a01-bdbf-2007a99475c2","tr","Hiçbir anlamı yoktur"
"687ac80b-8131-43cc-bbe4-f84e94d60ce9","b9659cb6-5a7b-45b2-9024-4081ec669ee5","tr","Aynı kaynak koddan her zaman aynı sonucun elde edilmesini sağlar, güvenilirliği artırır"
"277b7057-3c70-412e-95d9-1fab4935daa6","57216d53-75eb-475b-8b4b-64f75bf66aa0","tr","Hiçbir önemi yoktur"
"98562786-19aa-48a6-958d-0f44849f70cb","6b546d9f-e06f-4016-ad75-b3555cddca40","tr","Yalnızca test içindir"
"3640279b-158f-438d-8a8f-5450a1bccef6","a491c952-6358-43cd-896a-dd811a971940","tr","Performansı düşürür"
