"id","question_id","locale","text"
"5e436cd8-28c1-434c-926f-8eccc0dd9e55","e19db565-068b-41f5-a91a-a2b5f4193049","tr","Dizi (array) ve List arasındaki temel fark nedir?"
"5764e7e3-6347-4e3e-91cf-6c159e72ee8d","11908518-e104-49be-8b5e-df2d61fc0224","tr","Stack (yığın) veri yapısı hangi prensiple çalışır?"
"31b80731-afa0-475d-9556-ba34211618dc","99978309-d288-4ce0-aa28-b5e11bb88bc2","tr","Queue (kuyruk) veri yapısı hangi prensiple çalışır?"
"8ddfacb7-16f1-4ec4-b9a2-805bbe03a56e","771c8eab-02f5-4745-9619-a77d74754655","tr","Linked List'in Array'e göre üstünlüğü nedir?"
"2955a667-acc5-4c75-8a13-2131013bcc4a","91f1b53f-e7ae-45d0-847c-fc92e6b4414e","tr","Binary Tree'de her node'un en fazla kaç çocuğu olabilir?"
"d338664f-02e6-4ae0-a095-196923b8abfd","b609209a-a2bd-4edb-a43b-7e5c405e03e8","tr","Hash table'da collision (çakışma) ne zaman oluşur?"
"d37a5c30-3b48-4276-8392-172bf7bee4c1","2a5ed77a-6da2-4352-81d7-6e59f5240cc4","tr","Graph (graf) veri yapısında 'node' ve 'edge' neyi ifade eder?"
"4c6e6bb5-0af9-40ef-a2c2-57f68639231e","18e49a91-5cfd-4691-bc3e-2ce9aa517557","tr","Trie (prefix tree) veri yapısı en çok ne için kullanılır?"
"13bf0f7f-3bf2-4cee-aa1c-bded5e19d7d7","663f5a64-7dad-4875-b6f6-750d6b8daf09","tr","Heap veri yapısının temel özelliği nedir?"
"165fcf13-6d7a-4279-acab-9ecb90fb3df5","f2fa08d2-e9ea-4089-820d-c25097e58139","tr","Dynamic Array'in (örn. ArrayList) kapasitesi dolduğunda ne olur?"
"efd45c7f-17ad-4b20-9474-9a25716e3952","d2e316c0-8db9-417a-84ca-e22ce2293dbe","tr","Circular Linked List normal Linked List'ten ne ile farklılaşır?"
"5b58754e-0e3d-49b3-b55d-b67220574911","2393bdb5-0a95-43b9-98b7-fd51375e2872","tr","Doubly Linked List'in Singly Linked List'e göre üstünlüğü nedir?"
"f78975bd-51a3-483f-a9f1-96fb2d3164c1","a54446aa-b628-4f72-a988-a6dff639c238","tr","Balanced Binary Search Tree (örn. AVL, Red-Black) neden önemlidir?"
"13fc8141-3af2-45cd-8539-0d52af1eed65","944e205a-6765-425f-a6d7-83fff7d5a6a1","tr","Set veri yapısının temel özelliği nedir?"
"23a4e982-954c-4c97-bb46-efb426970edd","09f531fd-d18d-463d-a164-30e1efc4e500","tr","Adjacency List grafın tanımlanması için ne için kullanılır?"
"684bf092-2443-49e4-964b-436489c51d9a","aea05f2c-6d05-48bf-8783-75be5b0505d6","tr","Skip List nedir?"
"bc7c0beb-b78d-49d5-adb4-06df966c461e","416b4f2c-6d7d-403c-b42c-21b26ec8123b","tr","LRU Cache (Least Recently Used) uygulaması için genellikle hangi iki yapı birleştirilir?"
"a77111c2-fd1c-4aa8-b3be-672b4b3d0162","3d4bb4ab-729e-477e-bda0-4500d145bcc3","tr","Priority Queue'nun iç uygulaması en çok hangi yapıya dayanır?"
"61438ed6-d772-477f-8bb8-7db5d0605611","c89281ce-5e84-4bca-b5db-00e1e5fc5b8f","tr","Sparse array ne demektir?"
"9df6b55c-569b-4fd4-a903-71bece49bb62","f7cd53ac-5418-43fc-a18b-2afff37bd867","tr","Tree'de 'leaf node' neyi ifade eder?"
"1cf553bb-1961-4d7f-aca3-67593a7428bf","04093ed8-469c-4020-a2ed-d4c72542fc53","tr","WebSocket protokolü HTTP'den ne ile farklılaşır?"
"c3c3be72-84e8-4b35-a92c-5cadab71c53f","742afa5f-103f-4738-bff3-9540c8df269e","tr","WebSocket bağlantısı nasıl başlar (handshake)?"
"ac006ba4-3d0f-404d-9ced-13cf7aef3d18","171d5982-7828-4220-88f0-a78c8695676a","tr","WebSocket'in tipik kullanım alanlarına hangisi aittir?"
"1744bd08-8fb3-4a5b-b187-67c73e128cd0","366cbc3b-3eb7-4a3e-a952-2415559584d1","tr","Server-Sent Events (SSE) WebSocket'ten ne ile farklılaşır?"
"44cd2323-fd16-48b2-b315-35df4630e706","7a532883-b492-482e-b262-8078fcdb5ccd","tr","Spring'de WebSocket desteği için hangi anotasyon kullanılır?"
"d259112e-8a50-47ef-8fc9-d2d85a6e33fd","f591ebcf-2e82-4b9b-95b4-eccd50640e5e","tr","STOMP protokolü neden WebSocket üzerinde kullanılır?"
"d5f6e939-eaf0-4569-89a2-0c2ab9b1f156","8dc559bd-dca0-4e49-a212-463c80cca0aa","tr","WebSocket bağlantısının uzun süre açık kalması hangi kaynak riskini oluşturur?"
"763b53dc-3834-4564-972f-4cc31ca1c9b9","9376de48-3154-4b14-97d7-a6fdf5f22974","tr","Long polling nedir?"
"94f879e8-00ed-4bba-b12f-d33752b234b2","ff9f2a82-c792-46ae-a7af-eae2f102191d","tr","WebSocket'te mesaj broker'ın rolü nedir?"
"2b7d3c95-ff6b-4aea-a6cc-995879d06517","57960ac2-e4c2-4b67-bf43-6ce9a40ea5a8","tr","WebSocket bağlantısında güvenlik (kimlik doğrulama) nasıl sağlanabilir?"
"1fd1ebac-d49e-44d1-bcf2-36216b966d3d","51ee7eef-d6a4-464f-bc9a-ea70c0299b7c","tr","Socket.IO nedir?"
