"id","option_id","locale","text"
"37e69779-9883-4b0b-a9b0-131bebc3ad80","f22b1bf8-5f41-43c1-80eb-f113f558865a","tr","implements"
"ff9135c4-baf9-402a-8c9c-d5d26ab8d3e1","ecb4d8ef-9593-4cfe-9918-371a84c1c92a","tr","extends"
"2b6ab600-5b42-41f2-9609-e1e4080826be","fc03b8c6-9af2-489e-8fa4-decb7823b7a0","tr","inherits"
"9eaf5ecd-c224-49c8-bef7-7e8d3a1635c2","39d5c45b-6f2d-4ce5-851f-a7b0d0f1945e","tr","super"
"bb2631f1-10cb-4bf3-affe-d95342eba4cf","cb9d6340-aa93-4ae3-a05d-d9d9af970bc0","tr","Abstract class"
"c50910ad-e503-43f7-96d7-552d32f3dac4","ab2bbb0e-8721-4f9b-9bad-e9c8ad3b3187","tr","Interface"
"88993646-2f54-4b75-a7b7-aa24817d246c","94fb769d-9f67-4429-a4f3-ab44135daa7c","tr","Final class"
"c4fda8d3-d9fb-4496-87a2-df7688086d8d","73ba7054-2a93-41fd-b854-8f201dd2569d","tr","Static class"
"8e8804b5-0f70-417a-9bcd-411b34379393","c21194ac-cf71-492c-baae-9926e318ceb2","tr","Kod tekrarının ortadan kaldırılması"
"87cb861a-0269-4fae-a66d-a5b42ad2ca7c","fb96c3d1-a2c0-4105-860d-08c37200a806","tr","Veri ve metotların bir sınıf içinde gizlenmesi"
"cceecd0c-ae94-40d1-9171-795049b014f6","5d85b578-afc3-4f5e-89e7-e87bb931b42c","tr","Sınıfın genişletilmesi"
"85a227ba-3c69-40ec-a705-46a64def4652","9cf70ece-f6bf-46ea-ba8c-aad43a9a8b00","tr","Metodun overload edilmesi"
"1ae6bc06-dc40-4ca0-9e0c-1130a4e318f0","b7171cae-8080-41e3-b523-8e1214bc25bf","tr","Statik değişkene erişim için"
"829f0451-737b-41d1-802e-c6a16a685f64","690768cd-2dae-49bc-9308-13d272b3e7bb","tr","Geçerli nesneye referans için"
"9cfa58b1-b224-4094-9e25-0ee83b9eb3d4","e03dfa12-9f3f-4aff-aff4-8ec65379c747","tr","Üst sınıfa erişim için"
"355c9d8c-9727-4997-a2cf-a92de131ae23","329d97db-e99a-4314-83f6-d542711caa22","tr","Yeni nesne oluşturmak için"
"816f2d82-2f00-4844-974e-98ee4a9d2633","2ccd8c32-2188-4ad1-8fcb-f166cd5a6370","tr","Yalnızca inheritance ile"
"9debde73-3c7e-4bb2-bd1f-c2ecfa4d49ed","b0195c40-8251-4e18-af9c-404641a67b9e","tr","Method overloading ve overriding ile"
"f422dd4e-4b7d-431d-b751-af70ea8cdaac","d442c3d8-8912-4759-855b-a771b321c4ab","tr","Yalnızca interface ile"
"6bc6d9ed-f7a3-4dfa-be85-225a7838681b","f04e2004-d81e-4017-a5a5-8fd00a847d85","tr","Statik metotlarla"
"d6612f80-a1f6-4584-b0c6-3d8add99c10c","fe2096f9-4520-41a2-99e7-1a7ec6f748f5","tr","Abstract class'ta constructor olamaz"
"f9be989c-9fbd-4491-86cb-50852b62ab3f","c7ed534e-823c-4caa-ba34-04fdd10211f6","tr","Interface'te yalnızca abstract metotlar olabilirdi, abstract class'ta ise implemente edilmiş metotlar da olabilir"
"f1426907-d2d7-4875-8c82-39601aee2d54","2ef697bc-dbb0-4e2c-82f8-c8808fab437b","tr","Fark yoktur"
"033eae0f-47ee-4a48-9f0f-99912c2b435f","6070accd-d3f0-4cc5-b675-095b515bc7c6","tr","Interface'ten doğrudan nesne oluşturulabilir"
"e4a6e492-79b5-4bc3-b139-9b89d9ca0b4e","90f9ea49-3747-4c93-b2c7-820471d2c32f","tr","Aynı sınıfta farklı parametrelerle birden fazla constructor olması"
"8e921151-3549-4cb0-bdb2-b760d29345e1","7edc4d76-18a8-4299-8c24-cb17c0efbd7f","tr","Constructor'ın override edilmesi"
"4e7ca768-d61f-4de3-bd04-9fcb7ec439f4","d4e9f35e-8374-4dca-aafd-85e4460b704b","tr","Yalnızca bir constructor olması"
"6e8d4d7b-f4fd-4392-b6e8-34f9ac2f4585","48dfc674-fd90-43d2-a949-899726f65817","tr","Constructor'ın private olması"
"5ebc3f7b-a5a2-409f-b93e-32f339485d50","162765e4-d1e7-4e6a-93f3-613aebbf187c","tr","Geçerli nesneye referans için"
"f594e4c7-0bb0-4713-b3f8-f8d457e39c5c","003f61e0-c19a-426a-a823-18f3d00df780","tr","Üst sınıfın constructor'ına veya metotlarına erişim için"
"713b3567-17b3-4f16-ae52-97bc897b47c8","9267fae9-76cd-4b93-821f-c8a62215f294","tr","Statik metot çağırmak için"
"0d8614a4-3d34-4230-8534-27fa6a888464","38767906-dff4-4fd9-bbd4-8c9a4fdfc286","tr","Yeni nesne oluşturmak için"
"005eaff1-e7e1-45da-bd10-d87a9bb7d8c7","8d08644b-466f-4813-9953-6b128b0bb756","tr","Nesnenin belirli bir tipte olup olmadığını kontrol etmek için"
"9863a58b-d81a-4d55-87ae-1c0cef16eec4","da4e2517-6fc0-47eb-87d5-285896d25104","tr","Yeni nesne oluşturmak için"
"3aca7af2-fe0f-45eb-a0e4-9460f1b9601d","8a7603cd-2e5e-408e-bf21-b599b3d53e46","tr","Metodu overload etmek için"
"3f87c762-dde3-4930-8e50-21205e803b10","def2e05b-3d13-4229-9788-586632275211","tr","Sınıfı final yapmak için"
"ffbc7641-c680-4192-8786-f1d979e13a6a","4ca2a3b6-8b42-457d-be76-874000f0e9a4","tr","Composition 'has-a', inheritance 'is-a' ilişkisini ifade eder"
"55574c3e-43e4-4a4d-a4fe-2740391343cd","cf3043f4-aa64-4075-a4cf-393b99263da4","tr","Fark yoktur"
